Time,Day,Year,Quarter,Quarter Progress,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Speed,Conditions,Class
0,1.0,2016.0,Winter,0.48,19.9,15.1,0.81,29.75,2.0,13.8,Light Snow,Not Busy
0,2.0,2016.0,Winter,0.866666666667,61.0,57.0,0.87,29.84,10.0,9.2,Overcast,Not Busy
0,0.0,2016.0,Spring,0.554054054054,51.1,37.0,0.59,29.98,10.0,0.0,Clear,Not Busy
0,3.0,2016.0,Spring,0.972972972973,53.1,46.0,0.77,30.03,10.0,0.0,Clear,Not Busy
0,4.0,2015.0,Fall,0.304347826087,64.0,59.0,0.84,29.93,10.0,8.1,Mostly Cloudy,Empty
0,4.0,2015.0,Fall,0.304347826087,64.0,59.0,0.84,29.93,10.0,8.1,Mostly Cloudy,Empty
0,0.0,2015.0,Fall,0.641304347826,30.9,26.1,0.82,30.32,10.0,0.0,Clear,Empty
0,2.0,2015.0,Fall,0.967391304348,46.0,42.1,0.86,29.69,10.0,9.2,Clear,Not Busy
0,2.0,2016.0,Winter,0.493333333333,14.0,3.9,0.64,29.99,10.0,18.4,Overcast,Not Busy
0,3.0,2016.0,Winter,0.88,46.0,39.9,0.79,30.03,10.0,5.8,Scattered Clouds,Not Busy
0,1.0,2016.0,Spring,0.567567567568,50.0,48.9,0.96,29.93,5.0,11.5,Light Rain,Not Busy
0,1.0,2016.0,Spring,0.567567567568,50.0,48.9,0.96,29.93,5.0,11.5,Light Rain,Not Busy
0,4.0,2016.0,Spring,0.986486486486,63.0,60.1,0.9,29.98,10.0,6.9,Light Thunderstorms and Rain,Not Busy
0,4.0,2016.0,Spring,0.986486486486,63.0,60.1,0.9,29.98,10.0,6.9,Light Thunderstorms and Rain,Not Busy
0,1.0,2015.0,Fall,0.652173913043,37.9,33.1,0.83,30.15,10.0,0.0,Clear,Empty
0,3.0,2015.0,Fall,0.978260869565,39.9,37.0,0.89,29.75,10.0,5.8,Clear,Not Busy
0,0.0,2016.0,Winter,0.0933333333333,1.0,-6.0,0.72,30.13,10.0,11.5,Clear,Empty
0,3.0,2016.0,Winter,0.506666666667,10.0,-0.0,0.64,30.22,10.0,9.2,Clear,Empty
0,4.0,2016.0,Winter,0.893333333333,37.0,34.0,0.89,30.28,10.0,0.0,Clear,Not Busy
0,0.0,2016.0,Spring,0.175675675676,50.0,48.9,0.96,29.76,6.0,5.8,Overcast,Empty
0,2.0,2016.0,Spring,0.581081081081,53.1,52.0,0.96,29.99,1.5,3.5,Overcast,Not Busy
0,2.0,2016.0,Spring,0.581081081081,53.1,52.0,0.96,29.99,1.5,3.5,Overcast,Not Busy
0,2.0,2015.0,Fall,0.663043478261,37.9,35.1,0.89,29.99,7.0,0.0,Overcast,Not Busy
0,4.0,2015.0,Fall,0.989130434783,46.9,35.1,0.63,29.61,10.0,11.5,Clear,Not Busy
0,1.0,2016.0,Winter,0.106666666667,19.0,12.9,0.77,29.72,1.2,12.7,Haze,Not Busy
0,4.0,2016.0,Winter,0.52,19.0,6.1,0.57,30.25,10.0,6.9,Overcast,Empty
0,5.0,2016.0,Winter,0.906666666667,34.0,30.0,0.85,30.26,10.0,0.0,Clear,Empty
0,1.0,2016.0,Spring,0.189189189189,35.1,21.0,0.57,30.2,10.0,4.6,Clear,Empty
0,3.0,2016.0,Spring,0.594594594595,50.0,50.0,1.0,30.0,4.0,0.0,Rain,Not Busy
0,3.0,2016.0,Spring,0.594594594595,50.0,50.0,1.0,30.0,4.0,0.0,Rain,Not Busy
0,0.0,2015.0,Fall,0.336956521739,66.0,50.0,0.56,29.62,10.0,15.0,Clear,Not Busy
0,3.0,2015.0,Fall,0.673913043478,54.0,51.1,0.9,29.24,10.0,11.5,Partly Cloudy,Not Busy
0,2.0,2016.0,Winter,0.12,1.9,-7.1,0.66,30.23,10.0,8.1,Clear,Empty
0,6.0,2016.0,Winter,0.92,46.0,39.9,0.79,29.98,7.0,3.5,Overcast,Not Busy
0,6.0,2016.0,Winter,0.92,44.1,44.1,1.0,29.68,6.0,4.6,Overcast,Not Busy
0,2.0,2016.0,Spring,0.202702702703,36.0,27.0,0.7,30.38,10.0,0.0,Clear,Not Busy
0,4.0,2016.0,Spring,0.608108108108,53.1,43.0,0.69,29.97,10.0,8.1,Clear,Not Busy
0,1.0,2015.0,Fall,0.347826086957,52.0,39.9,0.63,29.58,10.0,12.7,Clear,Not Busy
0,4.0,2015.0,Fall,0.684782608696,41.0,28.9,0.62,29.89,10.0,16.1,Mostly Cloudy,Not Busy
0,3.0,2016.0,Winter,0.133333333333,25.0,19.0,0.78,29.79,10.0,5.8,Clear,Empty
0,0.0,2016.0,Winter,0.933333333333,44.1,44.1,1.0,29.68,6.0,4.6,Overcast,Not Busy
0,0.0,2016.0,Winter,0.933333333333,44.1,44.1,1.0,29.68,6.0,4.6,Overcast,Not Busy
0,3.0,2016.0,Spring,0.216216216216,37.0,33.1,0.86,30.28,10.0,0.0,Clear,Not Busy
0,2.0,2015.0,Fall,0.358695652174,46.0,42.1,0.86,29.88,10.0,3.5,Clear,Not Busy
0,4.0,2016.0,Winter,0.146666666667,42.1,37.9,0.85,29.49,10.0,15.0,Clear,Empty
0,0.0,2016.0,Winter,0.56,18.0,15.1,0.88,30.0,5.0,6.9,Overcast,Not Busy
0,0.0,2016.0,Winter,0.56,18.0,15.1,0.88,30.0,5.0,6.9,Overcast,Not Busy
0,1.0,2016.0,Winter,0.946666666667,46.0,43.0,0.89,29.8,6.0,0.0,Overcast,Not Busy
0,4.0,2016.0,Spring,0.22972972973,46.0,35.1,0.66,30.22,10.0,4.6,Clear,Not Busy
0,3.0,2015.0,Fall,0.369565217391,51.1,37.9,0.61,30.03,10.0,4.6,Clear,Empty
