@relation 'no_zero_other_class_at_end-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,13'

@attribute Time numeric
@attribute Day numeric
@attribute Quarter {Winter,Spring,Fall,Other,Summer}
@attribute Class {Empty,'Not Busy','Moderately Busy',Busy}

@data
30,3,Winter,Empty
30,1,Spring,Empty
30,4,Spring,'Not Busy'
30,1,Fall,Empty
30,3,Fall,'Not Busy'
30,3,Winter,'Not Busy'
30,4,Winter,Empty
30,0,Spring,Empty
30,2,Spring,Empty
30,5,Spring,Empty
30,2,Fall,Empty
30,4,Fall,'Not Busy'
30,4,Winter,Empty
30,1,Spring,Empty
30,3,Spring,Empty
30,6,Spring,'Not Busy'
30,0,Fall,Empty
30,3,Fall,'Not Busy'
30,5,Fall,Empty
30,2,Winter,Empty
30,2,Spring,Empty
30,4,Spring,Empty
30,0,Spring,'Not Busy'
30,1,Fall,Empty
30,4,Fall,Empty
30,6,Fall,'Not Busy'
30,0,Winter,Empty
30,3,Spring,Empty
30,1,Spring,'Not Busy'
30,2,Fall,Empty
30,0,Fall,'Not Busy'
30,0,Winter,Empty
30,1,Winter,Empty
30,4,Spring,Empty
30,2,Spring,'Not Busy'
30,3,Fall,Empty
30,1,Fall,'Not Busy'
30,1,Winter,Empty
30,2,Winter,Empty
30,0,Spring,Empty
30,3,Spring,'Not Busy'
30,4,Fall,Empty
30,0,Fall,Empty
30,2,Fall,'Not Busy'
30,2,Winter,Empty
30,3,Winter,Empty
30,1,Spring,Empty
30,4,Spring,Empty
30,1,Fall,Empty
30,3,Fall,Empty
30,0,Winter,Empty
30,3,Winter,Empty
30,4,Winter,Empty
30,0,Spring,Empty
30,2,Spring,Empty
30,2,Fall,Empty
30,4,Fall,Empty
30,1,Winter,Empty
30,4,Winter,Empty
30,5,Winter,Empty
30,1,Spring,Empty
30,3,Spring,Empty
30,0,Fall,Empty
30,3,Fall,Empty
30,2,Winter,Empty
30,6,Winter,'Not Busy'
30,6,Winter,'Not Busy'
30,2,Spring,Empty
30,4,Spring,Empty
30,1,Fall,Empty
30,4,Fall,Empty
30,3,Winter,Empty
30,0,Winter,'Not Busy'
30,3,Spring,Empty
30,2,Fall,Empty
30,4,Winter,Empty
30,0,Winter,Empty
30,1,Winter,'Not Busy'
30,4,Spring,'Not Busy'
30,3,Fall,Empty
30,1,Winter,Empty
30,2,Winter,'Not Busy'
30,0,Spring,Empty
30,4,Fall,Empty
30,0,Fall,Empty
30,2,Winter,Empty
30,3,Winter,'Not Busy'
30,1,Spring,Empty
30,1,Fall,Empty
30,0,Winter,Empty
30,3,Winter,Empty
30,4,Winter,Empty
30,0,Spring,Empty
30,2,Spring,Empty
30,2,Fall,Empty
30,4,Winter,Empty
30,1,Spring,Empty
30,3,Spring,Empty
30,0,Fall,'Not Busy'
30,3,Fall,Empty
30,2,Winter,Empty
30,2,Spring,Empty
30,4,Spring,Empty
30,1,Fall,Empty
30,4,Fall,Empty
30,3,Winter,Empty
30,3,Spring,Empty
30,2,Fall,Empty
30,4,Winter,Empty
30,0,Winter,Empty
30,4,Spring,Empty
30,3,Other,Empty
30,3,Fall,'Not Busy'
30,1,Winter,Empty
30,0,Spring,Empty
30,2,Fall,Empty
30,4,Other,Empty
30,4,Fall,Empty
30,0,Fall,Empty
30,2,Winter,Empty
30,1,Spring,Empty
30,3,Fall,Empty
30,1,Fall,Empty
30,0,Winter,Empty
30,3,Winter,Empty
30,0,Spring,Empty
30,2,Spring,Empty
30,2,Fall,Empty
30,1,Winter,Empty
30,4,Winter,Empty
30,1,Spring,Empty
30,3,Spring,Empty
30,0,Other,Empty
30,0,Fall,Empty
30,2,Winter,'Not Busy'
30,2,Spring,Empty
30,4,Spring,Empty
30,1,Other,Empty
30,1,Fall,Empty
30,3,Winter,Empty
30,3,Spring,Empty
30,0,Fall,Empty
30,2,Other,Empty
30,2,Fall,Empty
30,4,Winter,Empty
30,0,Winter,Empty
30,4,Spring,Empty
30,1,Fall,Empty
30,3,Other,Empty
30,3,Fall,'Not Busy'
30,2,Spring,Empty
30,0,Spring,Empty
30,2,Fall,Empty
30,4,Other,Empty
30,4,Fall,Empty
30,0,Fall,Empty
30,1,Spring,Empty
100,0,Winter,Empty
100,1,Winter,Empty
100,2,Spring,Empty
100,3,Fall,Empty
100,1,Fall,Empty
100,1,Winter,Empty
100,2,Winter,Empty
100,0,Spring,Empty
100,3,Spring,Empty
100,4,Fall,Empty
100,0,Fall,Empty
100,2,Fall,Empty
100,2,Winter,Empty
100,3,Winter,Empty
100,1,Spring,Empty
100,4,Spring,Empty
100,1,Fall,Empty
100,3,Fall,Empty
100,3,Winter,Empty
100,4,Winter,Empty
100,0,Spring,Empty
100,2,Spring,Empty
100,5,Spring,Empty
100,2,Fall,Empty
100,4,Fall,Empty
100,4,Winter,Empty
100,1,Spring,Empty
100,3,Spring,Empty
100,6,Spring,Empty
100,0,Fall,Empty
100,3,Fall,Empty
100,5,Fall,Empty
100,2,Winter,Empty
100,2,Spring,Empty
100,4,Spring,Empty
100,0,Spring,'Not Busy'
100,1,Fall,Empty
100,4,Fall,Empty
100,6,Fall,'Not Busy'
100,0,Winter,Empty
100,3,Spring,Empty
100,1,Spring,Empty
100,2,Fall,Empty
100,0,Fall,'Not Busy'
100,4,Winter,Empty
100,0,Winter,Empty
100,1,Winter,Empty
100,4,Spring,Empty
100,2,Spring,Empty
100,3,Fall,Empty
100,1,Fall,'Not Busy'
100,1,Winter,Empty
100,2,Winter,Empty
100,0,Spring,Empty
100,3,Spring,Empty
100,4,Fall,Empty
100,2,Fall,'Not Busy'
100,2,Winter,Empty
100,3,Winter,Empty
100,1,Spring,Empty
100,4,Spring,Empty
100,1,Fall,Empty
100,3,Fall,Empty
100,0,Winter,Empty
100,3,Winter,Empty
100,4,Winter,Empty
100,0,Spring,Empty
100,2,Spring,Empty
100,2,Fall,Empty
100,4,Fall,'Not Busy'
100,1,Winter,Empty
100,4,Winter,Empty
100,5,Winter,Empty
100,1,Spring,Empty
100,0,Fall,Empty
100,3,Fall,Empty
100,2,Winter,Empty
100,6,Winter,Empty
100,2,Spring,Empty
100,4,Spring,Empty
100,1,Fall,Empty
100,4,Fall,Empty
100,3,Winter,Empty
100,0,Winter,Empty
100,3,Spring,Empty
100,2,Fall,Empty
100,4,Winter,Empty
100,0,Winter,Empty
100,1,Winter,'Not Busy'
100,4,Spring,Empty
100,3,Fall,Empty
100,1,Winter,Empty
100,2,Winter,'Not Busy'
100,0,Spring,Empty
100,4,Fall,Empty
100,0,Fall,Empty
100,2,Winter,Empty
100,3,Winter,Empty
100,1,Spring,Empty
100,1,Fall,Empty
100,3,Winter,Empty
100,4,Winter,Empty
100,0,Spring,Empty
100,2,Spring,Empty
100,2,Fall,Empty
100,4,Winter,Empty
100,1,Spring,Empty
100,3,Spring,Empty
100,0,Fall,Empty
100,3,Fall,Empty
100,2,Winter,Empty
100,2,Spring,Empty
100,4,Spring,Empty
100,1,Fall,Empty
100,4,Fall,Empty
100,3,Winter,Empty
100,3,Spring,Empty
100,2,Fall,Empty
100,4,Winter,Empty
100,0,Winter,Empty
100,4,Spring,Empty
100,1,Fall,Empty
100,3,Other,Empty
100,3,Fall,Empty
100,1,Winter,Empty
100,0,Spring,Empty
100,4,Fall,Empty
100,0,Fall,Empty
100,2,Winter,Empty
100,1,Spring,Empty
100,1,Fall,Empty
100,0,Winter,Empty
100,3,Winter,Empty
100,0,Spring,Empty
100,2,Spring,Empty
100,4,Fall,Empty
100,2,Fall,Empty
100,1,Winter,Empty
100,4,Winter,Empty
100,1,Spring,Empty
100,3,Spring,Empty
100,0,Other,Empty
100,0,Fall,Empty
100,2,Winter,Empty
100,2,Spring,Empty
100,4,Spring,Empty
100,1,Other,Empty
100,1,Fall,Empty
100,3,Winter,Empty
100,3,Spring,Empty
100,0,Fall,Empty
100,2,Fall,Empty
100,4,Winter,Empty
100,0,Winter,Empty
100,4,Spring,Empty
100,1,Fall,Empty
100,3,Other,Empty
100,3,Fall,Empty
100,2,Spring,Empty
100,0,Spring,Empty
100,2,Fall,Empty
100,4,Other,Empty
100,4,Fall,Empty
100,3,Spring,Empty
100,1,Spring,Empty
130,0,Winter,Empty
130,1,Winter,Empty
130,2,Spring,Empty
130,3,Fall,Empty
130,1,Fall,Empty
130,1,Winter,Empty
130,2,Winter,Empty
130,0,Spring,Empty
130,3,Spring,Empty
130,4,Fall,Empty
130,0,Fall,Empty
130,2,Fall,Empty
130,2,Winter,Empty
130,3,Winter,Empty
130,1,Spring,Empty
130,4,Spring,Empty
130,1,Fall,Empty
130,3,Fall,Empty
130,3,Winter,Empty
130,4,Winter,Empty
130,0,Spring,Empty
130,2,Spring,Empty
130,5,Spring,Empty
130,4,Fall,Empty
130,4,Winter,Empty
130,3,Spring,Empty
130,6,Spring,Empty
130,0,Fall,Empty
130,3,Fall,Empty
130,5,Fall,Empty
130,2,Winter,Empty
130,2,Spring,Empty
130,4,Spring,Empty
130,0,Spring,'Not Busy'
130,1,Fall,Empty
130,4,Fall,Empty
130,6,Fall,Empty
130,0,Winter,Empty
130,3,Spring,Empty
130,1,Spring,Empty
130,2,Fall,Empty
130,0,Fall,Empty
130,0,Winter,Empty
130,1,Winter,Empty
130,4,Spring,Empty
130,2,Spring,Empty
130,3,Fall,Empty
130,1,Fall,Empty
130,1,Winter,Empty
130,2,Winter,Empty
130,0,Spring,Empty
130,3,Spring,'Not Busy'
130,4,Fall,Empty
130,0,Fall,Empty
130,2,Fall,Empty
130,3,Winter,Empty
130,1,Spring,Empty
130,4,Spring,Empty
130,1,Fall,Empty
130,3,Fall,Empty
130,0,Winter,Empty
130,3,Winter,Empty
130,4,Winter,Empty
130,0,Spring,Empty
130,2,Spring,Empty
130,2,Fall,Empty
130,4,Fall,Empty
130,1,Winter,Empty
130,4,Winter,Empty
130,5,Winter,Empty
130,1,Spring,Empty
130,3,Spring,Empty
130,0,Fall,Empty
130,3,Fall,Empty
130,6,Winter,Empty
130,4,Spring,Empty
130,1,Fall,Empty
130,4,Fall,Empty
130,0,Winter,Empty
130,3,Spring,Empty
130,2,Fall,Empty
130,0,Winter,Empty
130,1,Winter,Empty
130,4,Spring,Empty
130,3,Fall,Empty
130,1,Winter,Empty
130,2,Winter,Empty
130,0,Spring,Empty
130,4,Fall,Empty
130,0,Fall,Empty
130,2,Winter,Empty
130,3,Winter,Empty
130,1,Spring,Empty
130,1,Fall,Empty
130,3,Winter,Empty
130,4,Winter,Empty
130,0,Spring,Empty
130,2,Spring,Empty
130,2,Fall,Empty
130,1,Spring,Empty
130,3,Spring,Empty
130,0,Fall,Empty
130,3,Fall,Empty
130,2,Winter,Empty
130,2,Spring,Empty
130,4,Spring,Empty
130,1,Fall,Empty
130,4,Fall,Empty
130,3,Spring,Empty
130,2,Fall,Empty
130,4,Winter,Empty
130,0,Winter,Empty
130,4,Spring,Empty
130,3,Fall,Empty
130,1,Winter,Empty
130,0,Spring,Empty
130,4,Other,Empty
130,4,Fall,Empty
130,0,Fall,Empty
130,2,Winter,Empty
130,1,Spring,Empty
130,3,Fall,Empty
130,1,Fall,Empty
130,0,Winter,Empty
130,3,Winter,Empty
130,0,Spring,Empty
130,2,Spring,Empty
130,2,Fall,Empty
130,1,Winter,Empty
130,4,Winter,Empty
130,1,Spring,Empty
130,0,Fall,Empty
130,2,Winter,Empty
130,2,Spring,Empty
130,4,Spring,Empty
130,1,Other,Empty
130,1,Fall,Empty
130,3,Winter,Empty
130,3,Spring,Empty
130,0,Fall,Empty
130,2,Other,Empty
130,2,Fall,Empty
130,4,Winter,Empty
130,0,Winter,Empty
130,4,Spring,Empty
130,3,Other,Empty
130,3,Fall,Empty
130,2,Spring,Empty
130,0,Spring,Empty
130,2,Fall,Empty
130,4,Other,Empty
130,4,Fall,Empty
130,0,Fall,Empty
130,3,Spring,Empty
130,1,Spring,Empty
200,1,Winter,Empty
200,4,Spring,Empty
200,2,Spring,Empty
200,3,Fall,Empty
200,1,Fall,Empty
200,1,Winter,Empty
200,2,Winter,Empty
200,0,Spring,Empty
200,3,Spring,Empty
200,0,Fall,Empty
200,2,Fall,Empty
200,2,Winter,Empty
200,3,Winter,Empty
200,4,Spring,Empty
200,1,Fall,Empty
200,3,Fall,Empty
200,3,Winter,Empty
200,4,Winter,Empty
200,2,Spring,Empty
200,5,Spring,Empty
200,2,Fall,Empty
200,4,Fall,Empty
200,4,Winter,Empty
200,1,Spring,Empty
200,3,Spring,Empty
200,6,Spring,Empty
200,0,Fall,Empty
200,3,Fall,Empty
200,5,Fall,Empty
200,4,Spring,Empty
200,0,Spring,Empty
200,1,Fall,Empty
200,4,Fall,Empty
200,6,Fall,Empty
200,3,Winter,Empty
200,0,Winter,Empty
200,3,Spring,Empty
200,1,Spring,Empty
200,0,Fall,'Not Busy'
200,0,Winter,Empty
200,1,Winter,Empty
200,2,Spring,Empty
200,1,Fall,Empty
200,1,Winter,Empty
200,2,Winter,Empty
200,0,Spring,Empty
200,3,Spring,Empty
200,4,Fall,Empty
200,0,Fall,Empty
200,2,Fall,Empty
200,2,Winter,Empty
200,3,Winter,Empty
200,1,Spring,Empty
200,4,Spring,Empty
200,3,Fall,Empty
200,3,Winter,Empty
200,4,Winter,Empty
200,2,Spring,Empty
200,4,Fall,Empty
200,4,Winter,Empty
200,5,Winter,Empty
200,3,Spring,Empty
200,0,Fall,Empty
200,3,Fall,Empty
200,2,Spring,Empty
200,4,Spring,Empty
200,1,Fall,Empty
200,4,Fall,Empty
200,3,Winter,Empty
200,0,Winter,Empty
200,3,Spring,Empty
200,2,Fall,Empty
200,4,Winter,Empty
200,0,Winter,Empty
200,1,Winter,Empty
200,4,Spring,Empty
200,3,Fall,Empty
200,1,Winter,Empty
200,2,Winter,Empty
200,0,Spring,Empty
200,4,Fall,Empty
200,0,Fall,Empty
200,3,Winter,Empty
200,1,Spring,Empty
200,3,Winter,Empty
200,4,Winter,Empty
200,0,Spring,Empty
200,2,Spring,Empty
200,2,Fall,Empty
200,4,Winter,Empty
200,1,Spring,Empty
200,3,Spring,Empty
200,3,Fall,Empty
200,2,Spring,Empty
200,4,Spring,Empty
200,3,Winter,Empty
200,3,Spring,Empty
200,2,Fall,Empty
200,4,Winter,Empty
200,0,Winter,Empty
200,4,Spring,Empty
200,1,Fall,Empty
200,3,Fall,Empty
200,1,Winter,Empty
200,4,Fall,Empty
200,0,Fall,Empty
200,2,Winter,Empty
200,1,Spring,Empty
