Year,Month,Day,Time,Quarter,Quarter Progress,Class
2015.0,7.0,6.0,1000,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,1030,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,1100,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,1130,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,1200,Summer,0.25925925925925924,Moderately Busy
2015.0,7.0,6.0,1230,Summer,0.25925925925925924,Moderately Busy
2015.0,7.0,6.0,1300,Summer,0.25925925925925924,Moderately Busy
2015.0,7.0,6.0,1330,Summer,0.25925925925925924,Moderately Busy
2015.0,7.0,6.0,1400,Summer,0.25925925925925924,Moderately Busy
2015.0,7.0,6.0,1430,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,1500,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,1530,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,1600,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,1630,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,1700,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,1730,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,1800,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,1830,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,1900,Summer,0.25925925925925924,Empty
2015.0,7.0,6.0,1930,Summer,0.25925925925925924,Not Busy
2015.0,7.0,6.0,2000,Summer,0.25925925925925924,Empty
2015.0,7.0,6.0,2030,Summer,0.25925925925925924,Empty
2015.0,7.0,6.0,2100,Summer,0.25925925925925924,Empty
2015.0,7.0,6.0,2130,Summer,0.25925925925925924,Empty
2015.0,7.0,7.0,730,Summer,0.2777777777777778,Empty
2015.0,7.0,7.0,800,Summer,0.2777777777777778,Not Busy
2015.0,7.0,7.0,830,Summer,0.2777777777777778,Moderately Busy
2015.0,7.0,7.0,900,Summer,0.2777777777777778,Moderately Busy
2015.0,7.0,7.0,930,Summer,0.2777777777777778,Moderately Busy
2015.0,7.0,7.0,1000,Summer,0.2777777777777778,Not Busy
2015.0,7.0,7.0,1030,Summer,0.2777777777777778,Not Busy
2015.0,7.0,7.0,1100,Summer,0.2777777777777778,Not Busy
2015.0,7.0,7.0,1130,Summer,0.2777777777777778,Not Busy
2015.0,7.0,7.0,1200,Summer,0.2777777777777778,Moderately Busy
2015.0,7.0,7.0,1230,Summer,0.2777777777777778,Moderately Busy
2015.0,7.0,7.0,1300,Summer,0.2777777777777778,Moderately Busy
2015.0,7.0,7.0,1330,Summer,0.2777777777777778,Moderately Busy
2015.0,7.0,7.0,1400,Summer,0.2777777777777778,Moderately Busy
2015.0,7.0,7.0,1430,Summer,0.2777777777777778,Not Busy
2015.0,7.0,7.0,1500,Summer,0.2777777777777778,Not Busy
2015.0,7.0,7.0,1530,Summer,0.2777777777777778,Not Busy
2015.0,7.0,7.0,1600,Summer,0.2777777777777778,Not Busy
2015.0,7.0,7.0,1630,Summer,0.2777777777777778,Not Busy
2015.0,7.0,7.0,1700,Summer,0.2777777777777778,Not Busy
2015.0,7.0,7.0,1730,Summer,0.2777777777777778,Not Busy
